Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,TotRmsAbvGrd,WoodDeckSF,YrSold,1stFlrSF
0,1,0,0,0,0,0,0,0,1,-0.934129784145668,0.36517949153435314,1.6452097110066422,-0.6899289437659982
0,1,0,0,0,0,0,0,1,0,-0.31868326571034533,2.3844001939423194,1.6452097110066422,0.4305110528173652
0,0,1,0,0,0,0,0,0,1,-0.31868326571034533,0.9398193752235766,1.6452097110066422,-0.6071250641108766
0,0,1,0,0,0,0,0,1,0,0.29676325272497744,2.1210235805847586,1.6452097110066422,-0.6123003065893218
0,0,1,0,0,0,0,0,1,0,-0.934129784145668,-0.7521758378613592,1.6452097110066422,0.30371761209546033
0,0,1,0,0,0,0,0,0,1,0.29676325272497744,0.5008583529609754,1.6452097110066422,-1.0340825685825972
0,0,1,0,0,0,0,0,0,1,-0.31868326571034533,3.1027000485538485,1.6452097110066422,0.06306883684776333
0,0,1,0,0,0,0,0,0,1,0.29676325272497744,-0.7521758378613592,1.6452097110066422,-0.9668044163628109
0,0,1,0,0,0,0,0,1,0,-0.934129784145668,0.7801971853099035,1.6452097110066422,0.46156250768803575
0,1,0,0,0,0,0,0,0,1,-1.5495763025809908,1.1632904411027192,1.6452097110066422,-0.7261556411151139
0,0,1,0,0,0,0,0,1,0,-0.934129784145668,0.8679893897624237,1.6452097110066422,0.4512120227311456
0,1,0,0,0,0,0,0,0,1,-0.934129784145668,1.4426292734516473,1.6452097110066422,-1.7586165155649107
0,1,0,0,0,0,0,0,0,1,-0.31868326571034533,-0.7521758378613592,1.6452097110066422,-1.6499364235175635
0,1,0,0,0,0,0,0,1,0,-0.31868326571034533,0.6285561048919139,1.6452097110066422,-0.7960214145741227
0,1,0,0,0,0,0,0,0,1,-1.5495763025809908,-0.7521758378613592,1.6452097110066422,-0.8451862181193511
0,0,1,0,0,0,1,0,0,0,2.1431028080309455,0.3971039295170878,1.6452097110066422,1.2016221821056845
0,0,1,0,0,0,0,0,1,0,0.29676325272497744,-0.7521758378613592,1.6452097110066422,0.9868496192502131
0,0,1,0,0,0,1,0,0,0,0.29676325272497744,0.7801971853099035,1.6452097110066422,1.3853432900904856
0,0,1,0,0,0,1,0,0,0,0.9122097711603002,-0.7521758378613592,1.6452097110066422,1.7062083237540815
0,0,1,0,0,0,1,0,0,0,2.1431028080309455,1.003668251189046,1.6452097110066422,3.9677892868345888
0,0,1,0,0,0,0,0,1,0,0.29676325272497744,1.1473282221113519,1.6452097110066422,1.3568794564590374
0,0,1,0,0,0,0,0,1,0,-0.31868326571034533,0.20555730162067995,1.6452097110066422,0.5366035236254897
0,0,1,0,0,0,0,0,1,0,-0.31868326571034533,-0.4648558960167475,1.6452097110066422,0.41757294662125244
0,0,1,0,0,0,0,0,1,0,-0.31868326571034533,0.04593511170700675,1.6452097110066422,-0.045611255199583686
0,0,1,0,0,0,0,0,1,0,0.29676325272497744,0.04593511170700675,1.6452097110066422,-1.0832473721278255
0,0,1,0,0,0,0,0,1,0,0.29676325272497744,0.3971039295170878,1.6452097110066422,-0.8167223844879031
0,0,1,0,0,0,0,0,1,0,0.29676325272497744,-0.568610319460635,1.6452097110066422,1.2481993644116904
0,0,1,0,0,0,0,0,1,0,-0.31868326571034533,0.3971039295170878,1.6452097110066422,1.1188183024505631
0,0,1,0,0,0,0,0,1,0,-1.5495763025809908,-0.7521758378613592,1.6452097110066422,0.14328509526366234
0,0,1,0,0,0,0,0,1,0,-0.31868326571034533,-0.7521758378613592,1.6452097110066422,0.7901904050692994
0,0,1,0,0,0,0,0,1,0,0.9122097711603002,0.3971039295170878,1.6452097110066422,-0.8581243243154638
1,0,0,0,0,0,0,0,0,1,-0.934129784145668,0.2135384111163636,1.6452097110066422,-0.3897648800161826
0,1,0,0,0,0,0,0,0,1,0.29676325272497744,1.610232572861004,1.6452097110066422,0.8574685572890857
0,0,1,0,0,0,0,0,1,0,1.527656289595623,-0.4967803339994821,1.6452097110066422,0.22867659615800642
0,0,1,0,0,0,0,0,1,0,0.29676325272497744,0.8280838422840054,1.6452097110066422,0.6194074032806112
0,0,1,0,0,0,0,0,1,0,-0.31868326571034533,0.5886505574134956,1.6452097110066422,0.8419428298537504
0,0,1,0,0,0,0,0,1,0,-2.1650228210163136,-0.7521758378613592,1.6452097110066422,-0.834835733162461
0,0,1,0,0,0,0,0,1,0,-1.5495763025809908,-0.7521758378613592,1.6452097110066422,-1.4558648305758726
0,0,1,0,0,0,0,0,1,0,-1.5495763025809908,-0.7521758378613592,1.6452097110066422,-1.4558648305758726
0,0,1,0,0,0,0,0,1,0,-1.5495763025809908,-0.7521758378613592,1.6452097110066422,-1.4558648305758726
0,0,1,0,0,0,0,0,1,0,-0.934129784145668,-0.7521758378613592,1.6452097110066422,-1.052195917257155
0,0,1,0,0,0,0,0,1,0,-1.5495763025809908,-0.7521758378613592,1.6452097110066422,-1.6369983173214508
0,0,1,0,0,0,0,0,1,0,-0.31868326571034533,0.5248016814480263,1.6452097110066422,0.660809343108172
